Date,Actual,HW_Forecast
2025-10-03,2839.498046875,3423.0879822446495
2025-10-06,2924.137939453125,3423.799979079975
2025-10-07,2909.75390625,3424.511975915301
2025-10-08,2962.103515625,3425.223972750626
2025-10-09,2995.86181640625,3425.9359695859516
2025-10-10,2963.179931640625,3426.6479664212775
2025-10-13,2942.533935546875,3427.359963256603
2025-10-14,2896.642333984375,3428.0719600919283
2025-10-15,2916.7763671875,3428.783956927254
2025-10-16,2917.66015625,3429.4959537625796
2025-10-17,2909.311767578125,3430.2079505979054
2025-10-20,2961.365478515625,3430.919947433231
2025-10-21,2953.017333984375,3431.6319442685563
2025-10-23,3018.330078125,3432.343941103882
2025-10-24,3008.508544921875,3433.0559379392075
2025-10-27,3029.821044921875,3433.767934774533
2025-10-28,3003.30322265625,3434.479931609859
2025-10-29,3003.0087890625,3435.191928445184
2025-10-30,2981.106689453125,3435.90392528051
2025-10-31,3003.4013671875,3436.6159221158355
2025-11-03,2962.93701171875,3437.327918951161
2025-11-04,2936.81201171875,3438.0399157864867
2025-11-06,2957.142333984375,3438.751912621812
2025-11-07,2938.383544921875,3439.4639094571376
2025-11-10,2971.18701171875,3440.1759062924634
2025-11-11,2992.597900390625,3440.887903127789
2025-11-12,3075.8837890625,3441.5998999631147
2025-11-13,3050.249755859375,3442.31189679844
2025-11-14,3050.54443359375,3443.0238936337655
2025-11-17,3046.812255859375,3443.7358904690914
2025-11-18,3031.98193359375,3444.447887304417
2025-11-19,3091.499755859375,3445.159884139742
2025-11-20,3088.65185546875,3445.871880975068
2025-11-21,3094.34814453125,3446.5838778103935
2025-11-24,3085.115966796875,3447.2958746457193
2025-11-25,3063.5087890625,3448.0078714810447
2025-11-26,3106.428466796875,3448.71986831637
2025-11-27,3080.59814453125,3449.431865151696
2025-11-28,3081.48193359375,3450.1438619870214
2025-12-01,3077.455078125,3450.855858822347
2025-12-02,3079.714111328125,3451.5678556576727
2025-12-03,3123.22314453125,3452.279852492998
2025-12-04,3171.544677734375,3452.991849328324
2025-12-05,3180.384033203125,3453.7038461636494
2025-12-08,3178.71435546875,3454.4158429989748
2025-12-09,3151.01806640625,3455.1278398343006
2025-12-10,3132.259033203125,3455.839836669626
2025-12-11,3134.91064453125,3456.5518335049514
2025-12-12,3163.0,3457.2638303402773
2025-12-15,3172.52685546875,3457.9758271756027
2025-12-16,3147.875244140625,3458.6878240109286
2025-12-17,3160.348388671875,3459.399820846254
2025-12-18,3222.2236328125,3460.1118176815794
2025-12-19,3223.402099609375,3460.8238145169053
2025-12-22,3265.5361328125,3461.5358113522307
2025-12-23,3250.902099609375,3462.247808187556
2025-12-24,3259.741455078125,3462.959805022882
2025-12-26,3221.437744140625,3463.6718018582073
2025-12-29,3193.446533203125,3464.383798693533
2025-12-30,3188.83056640625,3465.0957955288586
